name,type,attribute,time,lat,lng
摩波楽茶屋,給水,門前町14‐1,11時～23時 月曜日（祝、1日、16日は営業）,34.68524227,135.6896979
ハーブ工房 ほうざん,給水,門前町16‐1,11時～16時 不定休,34.68480557,135.688802
Cafe 千珠,給水,小瀬町101‐1　メゾンコンフォール105号,8時30分～18時 水曜日、第1木曜日,34.66231676,135.7088971
キッチン・アミア,給水,さつき台2丁目451‐201,9時～19時30分 日曜日,34.67554278,135.7186764
カフェスタ viviana,給水,小明町555－1,9時～18時 日曜日,34.70634234,135.7061693
カフェ風風,給水,萩の台1－2－2　1階,9時～20時 水曜日,34.65616574,135.7090902
たけひめ本店,給水,壱分町1263-9,10時～19時 日曜日,34.67362039,135.7067084
cafe21,給水,小瀬町695,11時～17時 月曜日、第2、4日曜日,34.66529283,135.7087362
焼きたてパンの店 夢飛行,給水,萩の台1－2－2　1階,10時～20時 土・日・祝,34.65616574,135.7090902
(株) 丸松久保本店,給水,高山町6056－2,8時～20時 不定休,34.74676101,135.7197869
まほろば庵,給水,高山町5648,10時～17時 不定休,34.74985524,135.7189286
パティシエ カフェ フラウ,給水,萩の台866-14,11時～17時30分 火曜日、水曜日（不定休）,34.65887507,135.717212
炭火焼き鳥一調,たつた揚げ,生駒市本町6-9,月～金曜17:30～23:00（22:00LO・入店21:30まで）、土曜・祝日17:30～22:30（21:30LO・入店20:30まで）,34.69161,135.697551
極楽や,たつた揚げ,生駒市中菜畑1-55-1,11:30～14:00、16:00～23:00,34.684878,135.706525
有限会社 風遊空間アトリエ・ドイ,たつた揚げ,生駒市喜里が丘1丁目9番18号,火・木曜11:30～16:00（火・木曜のみ営業・要予約）,34.711583,135.692815
摩波楽茶屋,たつた揚げ,生駒市門前町14-1,11:30～14:30（LO）、17:00～23:00（LO）、土・日曜・祝日11:30～23:00（LO）,34.685239,135.689697
居酒屋かがり,たつた揚げ,生駒市本町10-3,17:00～23:30（23:00LO）,34.691631,135.696365
自然菜食屋ナイヤビンギ,たつた揚げ,生駒市門前町12-9,12:00～21:00※平日の夜は17:00までに予約がない場合18:00で閉店,34.685989,135.690128
生駒のお宿 城山旅館,たつた揚げ,生駒市門前町15番地12号,チェックイン15:00、チェックアウト10:00,34.684955,135.689667
㈱日タクホールディングス 観光旅館 くろんど荘,たつた揚げ,生駒市高山町5035,10:00～18:00,34.762535,135.713041
社会福祉法人 いこま福祉会 かざぐるま 喫茶ゆうほ～,たつた揚げ,生駒市谷田町1615,10:00～17:00,34.69502,135.69888
株式会社 チカミチ商会(旬の味 泉）,たつた揚げ,生駒市北田原町2476-6,11:00～15:00、17:00～21:30,34.731543,135.713183
鶏太郎,たつた揚げ,生駒市谷田町1600 近鉄百貨店生駒店1F,10:00～20:00,34.693879,135.697882
遊心亭,たつた揚げ,生駒市谷田町1600 近鉄百貨店生駒店1F,10:00～20:00,34.693828,135.698097
富惣,たつた揚げ,生駒市谷田町1600 近鉄百貨店生駒店1F,10:00～20:00,34.694018,135.698077
奈可嶋,たつた揚げ,生駒市谷田町1600 近鉄百貨店生駒店1F,10:00～20:00,34.693828,135.698097
アルション,たつた揚げ,生駒市谷田町1600 近鉄百貨店生駒店1F,10:00～20:00,34.693702,135.697932
炭火焼とり とり夢亭,たつた揚げ,生駒市東菜畑1丁目182-1-107,17:30～翌0:00、土・日曜・祝日17:00～翌0:00,34.685921,135.711983
寿しろばた美幸,たつた揚げ,生駒市本町9-15,12:00～14:00（LO）、17:00～22:30（22:00LO）,34.691638,135.696576
居酒屋 まみん,たつた揚げ,生駒市本町3-21,17:30～翌0:00（23:00LO）,34.691091,135.697632
一休 東生駒店,たつた揚げ,生駒市東菜畑町1丁目298-1,18:00～翌2:00(翌1:30LO）、土・日・祭日17:00～翌2:00（翌1:30LO）,34.686214,135.714691
カルメシ茶屋生駒店,たつた揚げ,生駒市元町1-13-1グリーンヒルいこま3F,11:00～15:00（14:00LO）、17:00～23:00（22:00LO）,34.69277,135.696205
